fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220521 203614	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	429	TRUE	0.0103667743540998	0.472995977816925	1929	148	0.0163248908673633	13764000	104
20220521 203901	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	347	TRUE	0.0196865037868053	0.510984128789024	2175	514	0.0160157170740046	13650000	105
20220521 204256	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	661	TRUE	0.0102006319263644	0.601733250591136	3359	102	0.0168556997450529	13531000	106
20220521 204317	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.299271504076524	0.24871870805059	2108	1024	0.0186527498630604	11538000	107
20220521 204335	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.221317736645605	0.35192099477687	7441	1023	0.0168128575535844	12639000	108
20220521 204352	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	20	TRUE	0.229964443135712	0.999633027735846	4194	979	0.0165119176907084	12402000	109
20220521 204408	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	32	TRUE	0.299435728954932	0.225019384088155	769	16	0.0119272892156743	11092000	110
20220521 204745	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1206	TRUE	0.0104895613203331	0.281454059593469	940	16	0.0262444816859934	12337000	111
20220521 204758	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	28	TRUE	0.299706107430715	0.984121268238591	7999	989	0.0334426679557545	10668000	112
20220521 204810	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	15	TRUE	0.298425826490956	0.999768431802879	7856	719	0.0155769298052752	12657000	113
20220521 204826	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.259274320449362	0.999360290734547	7001	375	0.0194115405535278	12569000	114
20220521 205103	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	370	TRUE	0.0136909927513615	0.35893991953231	2807	745	0.0172660668917823	13516000	115
20220521 205208	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	193	TRUE	0.0251218760973568	0.723163924120879	4822	860	0.0167518618521217	13399000	116
20220521 205235	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	39	TRUE	0.158826613836691	0.480592061483371	4222	92	0.0151651528436968	13196000	117
20220521 205627	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	649	TRUE	0.0100433081297716	0.458166813978845	5748	770	0.0162381914668112	13808000	118
20220521 205922	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	616	TRUE	0.0100227002781998	0.676025732377777	5531	390	0.0149789565542298	13428000	119
20220521 210146	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	479	TRUE	0.0117909433438651	0.492285693234294	4732	16	0.0160723257231634	13702000	120
